director_name,actor_2_name,genres,actor_1_name,movie_title,actor_3_name,plot_keywords,language,imdb_score,title_year,color
Kev Greenough,Valli Dreinan,Comedy|Musical|Romance,Jere Ferrettini,My Sister Eileen,Danica Enders,User-friendly,Fijian,6,1993,Color
Ulberto Fake,Hale Letchmore,Action|Mystery|Sci-Fi,Gonzalo McNicol,"Raiders of Atlantis, The",Gretel Creasy,Sharable,Tswana,48,1994,Color
Alina Enderby,Odella Dungay,Comedy,Carlynn Towlson,Super Sucker,Rorke Sandwith,Upgradable,Sotho,67,1995,Color
Nathaniel Bennell,Antoine Shark,Drama,Willdon Kohter,Backstairs (Hintertreppe),Elke Maddinon,3rd generation,Tok Pisin,77,2011,Color
Bat Worpole,Jaimie Kilmurray,Drama|Thriller|War,Bendite Hanssmann,Thirteen Days,Jamil Ranner,array,Quechua,91,1992,Color
Kingston Dossetter,Trista Aspenlon,Comedy|Drama,Bar Sackett,"Royal Tenenbaums, The",Nichols Govey,complexity,Kannada,73,2002,Color
Marcello Leahey,Cristabel Strang,Thriller,Chelsae Whitnall,Torn Curtain,Zea Purkis,pricing structure,Northern Sotho,58,2009,Color
Jasmine Flye,Stephine Pittam,Adventure|Animation,Neille Adair,Pokémon Origins,Jerad Vannet,Programmable,Croatian,75,2006,Color
Boyd Hedger,Buckie Dot,Horror,Bevan Jerrome,"Snow Creature, The",Keven Titchen,Expanded,Tajik,87,2011,Color
Marcellus Jobb,Margarette Canero,Animation|Children|Fantasy,Isadora Kettley,Thumbelina,Kinsley Growcott,non-volatile,Chinese,99,2012,Color
Maynord Ebbrell,Izabel Maccaig,Comedy,Barney Fransson,Hillbillys in a Haunted House,Hayley Maltman,content-based,Azeri,50,2000,Color
Baron Joslin,Carmella Cockell,Comedy,Beverie Fidock,Jönssonligan på Mallorca,Prissie Buzza,internet solution,Yiddish,3,1996,Color
Lilias Devanney,Tobe Rammell,Horror|Thriller,Dante Stanley,"Dentist, The",Sheri McDonnell,application,Bislama,25,1998,Color
Bailie Tiron,Merla Nears,Action|Adventure|Drama|Thriller|Western,Noni Durker,3:10 to Yuma,Elinor Simonitto,Enterprise-wide,Dzongkha,18,2009,Color
Ashlie Deare,Vassili Carragher,Comedy|Romance,Nathanil Robun,Outsourced,Carmine Furst,standardization,New Zealand Sign Language,16,1999,Color
Dorise Knolles-Green,Coralyn Camosso,Crime|Drama|Thriller,Eolanda Forrington,Tenderness,Jarrod Tebbutt,Implemented,Georgian,86,1997,Color
Osborne Tingly,Osbourn Comberbach,Adventure|Animation|Children,Hilarius Hardinge,101 Dalmatians (One Hundred and One Dalmatians),Giacopo Hardaker,fresh-thinking,Indonesian,43,2002,Color
Gwenette Figgess,Pamelina Filshin,Crime|Drama,Eada MacAlinden,11.6,Elysia Banisch,system-worthy,New Zealand Sign Language,100,2008,Color
Mella Shalders,Lion Scarlin,Animation|Children,Arnie Skepper,"Ballad of Nessie, The",Thornie Pennrington,methodology,Kannada,43,1994,Color
Max Garoghan,Noel Oakman,Documentary,Law Dillingston,Friends of God: A Road Trip with Alexandra Pelosi,Diana Carillo,Fundamental,Kannada,84,2003,Color
Lonni Haggata,Dale Grooby,Crime|Drama|Romance,Gay Wordsley,"Unholy Three, The",Wildon Gowrich,Multi-layered,Bosnian,89,2012,Color
Shep Storer,Batsheva Ellings,Comedy|Crime,Cammy Gaw,I Was an Adventuress,Antonino Maffeo,standardization,Macedonian,36,1987,Color
Richard Swepson,Cullan Dowyer,Horror,Antons Janes,Come Out and Play,Forester Wheadon,monitoring,Luxembourgish,27,1996,Color
Viki Langfat,Verla Adacot,Documentary,Hewe Songust,Better Living Through Circuitry,Neal Pateman,explicit,Marathi,12,2009,Color
Melicent Torricella,Gretal Emmanueli,Action|Comedy|Crime|Drama,Pavlov Maycey,Knockin' on Heaven's Door,Alice Ardley,neural-net,Persian,62,2009,Color
Beverie Gatland,Valentina McFie,Comedy|Crime|Drama|Thriller,Meriel Fendt,Cul-de-sac,Winonah Abotson,service-desk,Gagauz,26,2008,Color
Ewan Pomfrett,Venita Ballinghall,Action|Crime|Thriller,Alyse Fleis,Kill Bill: Vol. 1,Lauretta Martyn,portal,Chinese,54,1992,Color
Anne-marie Crocroft,Corliss O'Collopy,Drama|Thriller,Mitzi Germann,Don't Bother to Knock,Lockwood Upham,Multi-tiered,Oriya,4,2009,Color
Lindsay Farmery,Rivi Cundict,Documentary|IMAX,Ronica Beckey,Deep Sea 3D,Ase Hannum,Graphical User Interface,Tsonga,37,1981,Color
Erie McMillam,Honor Michelet,Drama|Film-Noir|Thriller,Joye Chessel,14 Hours (Fourteen Hours),Rawley Moston,Horizontal,Hungarian,99,2011,Color
Cathrin Sykes,Alessandro Snaddon,Horror|Thriller,Dorine Hulance,Firestarter,Tori Brogden,parallelism,Dari,82,2004,Color
Sandy McCleary,Rolando Martensen,Drama|Romance,Sasha Usborn,"Big Street, The",Rogers Mawman,projection,Gujarati,80,1996,Color
Jacobo Shrimpton,Hart Mattaus,Crime|Drama,Reider Stallworthy,Mickey One,Tasia Amaya,radical,Kyrgyz,84,2009,Color
Melania Melmore,Sarge Allcott,Drama,Cooper Brawley,Close to Home (Karov La Bayit),Olivier Elsley,Proactive,Tok Pisin,6,1997,Color
Gunar Polamontayne,Leonerd Ecclestone,Comedy,Noby Islip,Million Dollar Legs,Britney Quidenham,neural-net,Zulu,43,1995,Color
Briana Pitcaithley,Uri Beausang,Horror|Mystery|Thriller,Max Halford,Silent Hill: Revelation 3D,Candis Yuryev,focus group,Spanish,3,2003,Color
Hamil Fadell,Tammie Beacroft,Drama|Musical,Crysta Cathro,Hunky Dory,Cristionna Peasee,analyzing,Zulu,11,2012,Color
Lucio Breem,Beverlee Potbury,Drama,Noel Zolini,"Prefab People, The (Panelkapcsolat)",Kellby Jillis,systematic,Chinese,9,2012,Color
Pyotr Dreghorn,Artus Gaythorpe,Drama,Grissel Barbera,Forever Strong,Margaux Glandon,Distributed,Yiddish,89,2003,Color
Glynn Fitzroy,Margarethe Powley,Comedy|Romance,Binny Elcott,"Party 2, The (Boum 2, La)",Harbert Pearlman,analyzer,English,9,1995,Color
Gardie Bottrell,Imogene Loveland,Horror|Thriller,Enrica Geeritz,Trailer Park of Terror,Aprilette Trickett,non-volatile,Burmese,67,1985,Color
Wake Spieck,Rachelle Cammacke,(no genres listed),Faunie Chesley,"Dancing Hawk, The (Tanczacy jastrzab)",Eberhard Seefus,Virtual,Kannada,29,1995,Color
Lew Wicher,Maegan Trevethan,Comedy|Drama|Romance,Clarisse Venneur,"Chapman Report, The",Karlene Boreland,throughput,English,62,2010,Color
Ruthi Patroni,Morten Appleton,Action|Drama|War,Maire Ilymanov,"Monuments Men, The",Ruthi Henric,customer loyalty,Tamil,72,1992,Color
Joscelin Toderini,Nataniel Ledner,Documentary,Ignatius Gaunter,Mr. Warmth: The Don Rickles Project,Maren Caile,leverage,Chinese,100,1998,Color
Amara Cavanagh,Johnna Cunde,Drama,Katy Hay,Roller Boogie,Nealy Coward,Cross-platform,Gagauz,82,2007,Color
Bonnibelle Picot,Jonah Crawforth,Animation|Fantasy,Yasmin Dyer,Madame Tutli-Putli,Gloria Cluer,Distributed,Somali,94,2003,Color
Wyn Auger,Sosanna Bediss,Comedy|Drama,Cati Stove,Catfish in Black Bean Sauce,Anderson Kibard,demand-driven,German,45,2007,Color
Baron Bento,Anson Hursey,Mystery|Sci-Fi|Thriller,Lucina Trownson,District 9,Luise Stutt,knowledge base,Tamil,89,2006,Color
Cary Christescu,See McIlwaine,Documentary,Ethelda Barajaz,"Beaches of Agnes, The (Plages d'Agnès, Les)",Burl Minthorpe,capability,Finnish,73,1996,Color
Mae Melior,Horacio Adam,Action|Animation,Karoly Rawlin,Street Fighter II: The Animated Movie (Sutorîto Faitâ II gekijô-ban),Randa Morley,artificial intelligence,Azeri,99,1987,Color
Erminia Moralis,Jasen Sweetland,Action|Adventure|Animation|Children|Sci-Fi,Val Tonkes,Kaena: The Prophecy (Kaena: La prophétie),Jean Pinnick,analyzer,Filipino,91,2010,Color
Aundrea Lamacraft,Kaitlynn Bushrod,Comedy|Romance,Manya McCrillis,Father's Little Dividend,Gill Imore,archive,Somali,71,2009,Color
Bernardina Docksey,Hillary Jehan,Adventure|Fantasy,Dorette Lovett,Fando and Lis (Fando y Lis),Gabey Medlicott,Robust,West Frisian,98,2007,Color
Arri Balderston,Joelynn Espada,Comedy|Romance,Ashleigh Zimmermeister,"I Love You, Beth Cooper",Isadore Chalk,object-oriented,Catalan,47,1995,Color
Adler Koenen,Karisa Marien,Documentary,Shadow Dislee,Galician Caress (Of Clay),Elisabeth MacCollom,approach,Tswana,5,1995,Color
Willie Jolin,Stacey Swithenby,Comedy|Drama,Baxter Puffett,Insignificance,Benedetta Fritche,systemic,Catalan,41,1993,Color
Julissa Pruce,Judith Argente,Drama,Dennet Woodham,Jesus of Montreal (Jésus de Montréal),Justinn Kasbye,directional,Dutch,45,2008,Color
Addia Dedenham,Virginie Wheelton,Drama,Lauraine Leggen,Wuthering Heights,Alex Greason,Reduced,Māori,6,2005,Color
Hanni Conachie,Jarret Zapater,Drama,Deidre Selvey,Pittsburgh,Davon Simcoe,Polarised,Haitian Creole,15,1995,Color
Farra Hallwood,Sigismundo Revie,Horror|Thriller,Rozina Corroyer,Inside (À l'intérieur),Mariejeanne Scates,Horizontal,Burmese,11,2012,Color
Eldin Boarleyson,Andra Twitchett,Drama|Sci-Fi,Lenka Ablitt,"Cosmonaut, The",Bruce Tomaszewski,Streamlined,Malay,54,1986,Color
Willa Castagneto,Lisha Vowles,Comedy|Fantasy|Sci-Fi,Aliza Castel,Nothing Lasts Forever ,Gideon Troake,intermediate,Assamese,75,1999,Color
Colette Ritchard,Joelle Roux,Drama,Bird Durand,"Great Gatsby, The",Shaylyn Stebbing,internet solution,English,22,1996,Color
Merrile Lecky,Sinclair Rosenfelt,Comedy|Drama,Mala Forlong,Sazen Tange and the Pot Worth a Million Ryo,Zackariah Allsep,User-friendly,Catalan,41,2004,Color
Babara Guiness,Mersey Goning,Crime|Drama|Thriller,Judas De Filippi,Oxygen,Duky Patton,Re-engineered,Tamil,67,2008,Color
Alie Utley,Farica Goldsack,Drama|Romance,Egon Gibben,Phenomenon,Rosalyn Wheal,Horizontal,Hungarian,80,2009,Color
Krystle Flamank,Tally Lottrington,Action|Adventure|Animation|Children|Comedy|Sci-Fi,Danna McPeake,Free Birds,Stafani Filippo,client-driven,Northern Sotho,60,1994,Color
Lebbie Jaquest,Art Whitcher,Comedy|Documentary,Edgar Alecock,Comedian,Alexina Ewestace,bandwidth-monitored,Papiamento,77,2004,Color
Hildegarde Lillistone,Karla Romanski,Crime|Drama,Margaretha Radley,Assa,Hannah Krimmer,analyzer,Indonesian,82,1993,Color
Kimmy Magee,Maybelle Wilbraham,Horror|Sci-Fi,Kim Lenihan,"Deadly Spawn, The",Heinrick Pendlebury,intermediate,English,39,2011,Color
Dreddy Quick,Martina Alves,Drama|Romance,Shannan Jakab,Cloak and Dagger,Krystle Kwietek,portal,Māori,49,1993,Color
Tonie Learmont,Mala Darrach,Documentary,Guendolen Welman,Wagner's Dream,Dorene Sydes,real-time,Kurdish,77,1985,Color
Aldin Pudding,Zuzana Newvell,Comedy|Musical|Romance,Fabe Trudgion,Cry-Baby,Ajay Moogan,Fundamental,Czech,21,2000,Color
Onofredo O'Crevy,Washington Standring,Drama,Golda Shortall,It's Impossible to Learn to Plow by Reading Books,Kylen Eberlein,toolset,Telugu,31,2009,Color
Dolorita Turmall,Harbert Guerro,Drama|Western,Loren O'Downe,Stars in My Crown,Perry Acomb,Self-enabling,Azeri,24,2012,Color
Colline Littrik,Yulma Cordon,Horror|Thriller,Eduino Mervyn,"House on the Edge of the Park, The (Casa sperduta nel parco, La)",Angelia Alleyne,24/7,Gujarati,98,1999,Color
King Gimbart,Malia Worpole,Drama|Romance,Cindra Gabriely,Step Up,Karlik Acome,multi-state,Japanese,43,2011,Color
Kelly Fuentez,Gerhard Laird-Craig,Adventure|Drama|Thriller,Pammy Becraft,Lord of the Flies,Cristionna MacCall,concept,Assamese,58,2002,Color
Bengt Savell,Chaunce Gebby,Comedy|Drama,Aguie Youtead,"Go-Getter, The",Therese Vasyukhichev,installation,Somali,53,1994,Color
Marlo McCrostie,Wandis Stallwood,Drama|Mystery|Thriller,Mallory Nattriss,Missing,Simeon Maffioletti,strategy,Dhivehi,38,2011,Color
Vicki Westcar,Clarissa Hassall,Drama,Bertie Pohl,"Deep End of the Ocean, The",Brose Footitt,Distributed,Greek,54,2001,Color
Marlon Abdee,Charlot Glanton,Animation|Comedy|Sci-Fi,Kati Corck,Futurama: Bender's Big Score,Mohandis Gulberg,strategy,Azeri,84,2012,Color
Guillaume Yousef,Meade Magarrell,Drama,Myrtice Anfrey,One Hundred Mornings,Rene Horrell,contextually-based,Hiri Motu,26,2003,Color
Delmor Tyrone,Sashenka Gresser,Comedy|Crime,Charlean Kynder,What Will You Do When You Catch Me? (Co mi zrobisz jak mnie zlapiesz?),Lise Handke,zero defect,Haitian Creole,48,1996,Color
Holden Ewert,Aland Tidbury,Comedy|Mystery,Erika Heymes,Without a Clue,Doroteya Goves,forecast,Tswana,12,2005,Color
Alfy Thomazin,Ky MacGiffin,Comedy|Drama,Dionne Old,Thumbsucker,Wilma Easey,encompassing,Tok Pisin,100,2003,Color
Hadria Gairdner,Lorelle Cannavan,Adventure|Children|Drama|Fantasy,Hallie Mauvin,The Boy in the Mirror,Brittany Maltman,hub,Yiddish,69,1995,Color
Kiele Dunkerton,Otto Lambard,Action|Drama|Romance|War,Elyse Worstall,Sands of Iwo Jima,Lorita Libbis,strategy,Belarusian,63,1993,Color
Clara Gookes,Zebulon Bresland,Action|Adventure|Fantasy|Romance,Serene Beinke,Magadheera,Matthias Brennen,analyzer,Punjabi,5,2011,Color
Blithe O'Luby,Beatrice Heal,Animation|Drama|Mystery|Sci-Fi|Thriller,Winfred Newhouse,Balance,Katie Sanja,Adaptive,Malayalam,54,1993,Color
Ann-marie Jertz,Chickie Brimmell,Action|Drama,Maiga Torry,Spider,Evonne Jiracek,Cross-platform,Mongolian,38,1996,Color
Vitoria Mapson,Standford Floch,(no genres listed),Tabbatha Vaulkhard,La Morte Rouge,Hyacintha Theyer,Stand-alone,Assamese,24,2000,Color
Fae Whistlecraft,Missy Sandeland,Comedy|Romance,Bobby Nardi,Send Me No Flowers,Inga Bulloch,Intuitive,Amharic,98,1990,Color
Boniface Lowthian,Perla Blannin,Thriller,Brandise Greenwood,"Entitled, The",Fredi Howorth,Customizable,Luxembourgish,65,2011,Color
Jaine Shepherdson,Clarinda Bray,Crime|Documentary,Pooh Andrzejczak,"Condemned, The",Koenraad Joder,analyzer,Georgian,53,2010,Color
Earlie Haking,Susana Gaspar,Horror|Thriller,Ford Uzielli,Grace,Luisa Vaud,throughput,Catalan,20,2008,Color
Sammy Fauguel,Myrtie Pendrey,Action|Adventure|Animation|Children|Comedy|IMAX,Bride Dallimare,Kung Fu Panda 2,Arin McGiveen,alliance,Hiri Motu,34,2007,Color
Cirilo Tregenna,Pavia Kitson,Action,Isador Keady,Crackerjack,Meredeth Poulgreen,Public-key,Marathi,40,2007,Color
Gertrud Berryman,Harmony Lambshine,Action|Thriller,Morgan California,Stag,Austen Taylor,mobile,Sotho,99,1990,Color
Bendite Wyon,Jack Camble,Drama|War,Hadrian Chazotte,"Messenger: The Story of Joan of Arc, The",Gunner Allett,Open-architected,Ndebele,99,2011,Color
Angelita Oakley,Edward Casswell,Drama,Brandyn Prandini,"High and the Mighty, The",Martina Anscombe,encryption,Italian,20,2010,Color
Brad Blackall,Tomasine Storry,Drama,Cathyleen Trembath,Electric Shadows (Meng ying tong nian),Ana Scurrah,incremental,Hungarian,22,1987,Color
Shirl Purshouse,Curr Garnsworth,Documentary,Hagen Sarll,October Country,Avrit Areles,systemic,Hindi,73,2006,Color
Hyman Mangan,Kingsly Rosenshine,Comedy|Drama|Romance,Leda Whooley,Emma,Sebastian Lauritzen,methodical,Arabic,84,2002,Color
Kaleena Kienzle,Matilde Lambourn,Comedy,Christabella Sings,"Odd Couple, The",Krystyna Kruschev,firmware,Bengali,86,1990,Color
Chanda Jaffra,Donnajean Allder,Drama|War,Burton Sargent,55 Days at Peking,Anna-diane Youdell,user-facing,Indonesian,80,2006,Color
Elia Bevington,Pavia Fuzzens,Drama,Carita McInnery,Hawking,Ashton Sharma,utilisation,Nepali,41,2004,Color
Ynez Eldredge,Ernst Montague,Action|Adventure|Drama,Caprice Houliston,Sweepers,Abbie Thomann,framework,Zulu,97,2006,Color
Effie Franssen,Cheri Blaschke,Drama,Isaac Cuesta,Juno and the Paycock,Dierdre Burth,well-modulated,Dzongkha,97,1999,Color
Domenico Jellis,Denis MacMenamin,Crime|Thriller,Gwennie Lamerton,Targets,Rubi Lyosik,Multi-layered,Kazakh,81,2010,Color
Avivah Tyt,Isadora Ferrar,Crime|Drama|Thriller,Nadean Hewes,Headshot,Bryce Osgardby,implementation,Punjabi,61,2007,Color
Arty Robbings,Gottfried Ellsom,Comedy,Kristin Dudlestone,Seven Years Bad Luck,Esther Luna,Synergized,Tok Pisin,17,2001,Color
Orel Dowbiggin,Kayne Wetherald,Horror|Thriller,Kristal Hark,Slaughter,Rockie Melladew,Function-based,Swedish,87,1996,Color
Dunn Rabbe,Keelby Pattington,Action|Animation|Drama|Sci-Fi,Vincenty Giannassi,Evangelion: 2.0 You Can (Not) Advance (Evangerion shin gekijôban: Ha),Demetris Puden,interactive,Quechua,9,2012,Color
Cointon Muckersie,Lisa Hadenton,Drama,Consalve Falk,Hunger,Ellis McWhirter,success,Burmese,67,1997,Color
Sybil Purcer,Lelia Delle,Comedy|Romance,Sheena Studeart,Waking Up in Reno,Ashley Lammerich,instruction set,Dhivehi,95,2005,Color
Aldous Satterley,Sloane Pinkard,Sci-Fi|Thriller,Portia Hundall,Predestination,Benita Dymock,info-mediaries,Dari,11,1992,Color
Michaella Scroggie,Benedikt Nutkin,Action|Adventure|Thriller|War,Travis Popham,Delta Force 2 (Delta Force 2: The Colombian Connection),Liliane Fownes,contextually-based,Yiddish,57,1993,Color
Aigneis Wrey,Hiram Gillbard,Drama|Mystery|Romance,Kareem Dorning,Flesh and Bone,Harold Petzolt,leverage,Haitian Creole,30,2004,Color
Tana Dyzart,Frants Spleving,Action|Crime|Drama|Thriller,Sibelle Romei,Blood of Redemption,Eliza Assad,zero defect,Kannada,57,1997,Color
Cthrine Flippelli,Finlay Denman,(no genres listed),Danella Gauche,The Strength of Water,Tally Mowne,instruction set,Kannada,31,2010,Color
Anna-maria Trevillion,Linea Kenner,Comedy,Yankee Buttner,Ricky Gervais Live 3: Fame,Jed Redley,actuating,Gagauz,39,2005,Color
Eimile Camsey,Laurie Edgworth,Drama,Windy Hayle,Low Life,Billie Pedlar,Ergonomic,Dzongkha,81,2006,Color
Zahara Rangle,Zebedee Carncross,Drama,Cornela Farress,In Your Hands,Revkah Duiguid,emulation,Maltese,74,1994,Color
Colver Gosnold,Thoma Aaronsohn,Animation|Children|Comedy,Katrine Shrubb,Get a Horse!,Monty Ornelas,Graphic Interface,Pashto,3,2010,Color
Jakie Birchett,Robyn Fenich,Action|Drama,Roanna Neames,"Point Men, The",Major Riding,hierarchy,Tetum,76,2006,Color
Louie Fane,Lind Chaffey,Documentary,Diarmid Shimony,"Armwrestler From Solitude, The (Armbryterskan från Ensamheten)",Debora Cokayne,Diverse,Albanian,82,2011,Color
Trudi Trunks,Renee Guilder,Crime|Drama,Antonietta Blankett,Scum,Zonnya Caccavari,ability,Tok Pisin,93,2002,Color
Rafael Oxberry,Patrick Rieger,Action|Adventure|Drama|Musical|Romance|Thriller|War,Palm Ochterlony,"Hero: Love Story of a Spy, The",Dorris Galliver,Graphic Interface,New Zealand Sign Language,10,1996,Color
Lane Deeves,Kellie MacGrath,Adventure|Comedy,Hedvige Aire,"Crocodile Hunter: Collision Course, The",Ward Kamall,secured line,Gagauz,64,1987,Color
Sybilla Munkley,Bea Rainford,Drama|Romance|War,Emmy Sadd,Ironclads,Hasty Marks,Reduced,Luxembourgish,26,2001,Color
Goran Girdwood,Maddi Chipchase,Documentary,Lorin Foottit,"Carter, The",Mariquilla Prew,logistical,Tsonga,53,2001,Color
Milka Christer,Roch Smorthit,Drama|Romance,Ulrikaumeko Kerrey,Hallam Foe (Mister Foe),Lucho Glassman,contingency,Afrikaans,75,2002,Color
Amata Shapiro,Talyah Foden,Drama,Marla Croci,"Girasoli, I (Sunflower)",Lamont Axelby,Graphical User Interface,Croatian,33,2010,Color
Adan Gambie,Kingsley Orbell,Comedy|Drama|Romance,Norry Cortin,Bachelor Apartment,Siouxie Langworthy,full-range,Catalan,64,2000,Color
Ronny Heindrick,Dix Sillwood,Drama|Romance,Hillier Riveles,Idol of the Crowds,Xenia Boichat,superstructure,Swati,83,1997,Color
Hussein Gianotti,Fremont Danilishin,Crime|Drama|Thriller,Gan Cornelius,Bully,Holly-anne Parsons,secured line,Spanish,71,1992,Color
Lesley Tasch,Wally Djurevic,Adventure|Sci-Fi|Thriller,Hobart Corpe,Stargate SG-1 Children of the Gods - Final Cut,Lisetta Viegas,national,Tetum,73,1993,Color
Hally Tesmond,Earvin Pidgen,Horror,Ulric Trevino,It Follows,Joel Sleep,Assimilated,Greek,18,2007,Color
Quintin Carey,Janot Ludlam,Crime|Drama,Karin Smithyman,Deadline - U.S.A.,Hayyim Elsmore,matrices,Montenegrin,6,1994,Color
Michal Jados,Andris Godain,Action|Sci-Fi,Tim Wegner,Atomic Rulers of the World,Sharity Wright,conglomeration,Tsonga,65,2012,Color
Aubry Semken,Jennilee Iannitti,Animation|Children|Fantasy|Musical|Romance,Tawnya McLaren,"Princess and the Frog, The",Tish Packham,function,Bosnian,8,2012,Color
Kristian Inott,Jana Carrabot,Comedy,Caterina Orrey,Sweet Liberty,Gloriana Alldridge,Business-focused,Maltese,41,1992,Color
Madelina Machon,Keven Pipworth,Documentary,Hildegarde Sime,Life After People,Devy Toffts,Organized,Kazakh,69,1999,Color
Portia Layland,Marcello Gallon,Drama|Romance,Roarke Castanaga,Suez,Imelda Witcomb,Future-proofed,Swati,6,2001,Color
Woodrow Kitchener,Lynde Hartop,Drama,Charmion Gergler,Sunshine State,Jasmina Rhodes,system engine,Ndebele,13,1998,Color
Corenda Piggen,Jermaine Hedon,Animation|Children,Sherwynd Foxton,Witch's Night Out,Pennie Maggi,hub,Armenian,54,1998,Color
Osgood Hovenden,Shandee Catherine,Comedy|Drama,Burlie Hawthorne,Wittgenstein,Verile Argabrite,core,Latvian,60,1991,Color
Warden Thurley,Barris Bransom,Adventure|Fantasy,Christalle Lounds,Dororo,Wandis De Andisie,approach,Filipino,56,2001,Color
Cristi Iredale,Bridget Gorrissen,Comedy|Drama,Gale Burn,Happiness (Schastye),Sylvan Cyster,intangible,Dutch,41,1991,Color
Quinn Isack,Keen Gaffey,Crime|Thriller,Carlee Fasset,Ransom (a.k.a. The Terrorists),Ellswerth Lethcoe,Grass-roots,Lao,74,1992,Color
Brandi Itzhayek,Natka Fulep,Comedy|Drama|War,Willi Pye,Take the High Ground!,Kath Giacopazzi,Horizontal,Bengali,98,2006,Color
Donnajean Commuzzo,Alwin Spicer,Comedy|Drama,Wye Lansberry,"Ceremony, The (Gishiki)",Coleman Croasdale,toolset,Norwegian,31,2010,Color
Dorelle Claricoates,Dall Revance,Comedy|Crime|Drama,Nanice Monnoyer,Burn After Reading,Candide Pear,help-desk,Romanian,51,1986,Color
Adelaida Midgley,Mac Pettipher,Comedy|War,Tommie Matas,Me and the Colonel ,Kettie Goodyer,orchestration,Dzongkha,2,2012,Color
Goddart Bushe,Matthieu Lebreton,Comedy,Gibb Whoolehan,All Over the Guy,Philippa Boribal,Right-sized,Swahili,58,2008,Color
Aaron Roundtree,Neal Petrowsky,Comedy|Drama|Musical,Sidonnie Booker,"Wayward Cloud, The (Tian bian yi duo yun)",Allissa Maloney,Upgradable,Gujarati,6,2012,Color
Hester Habgood,Audra Harpur,(no genres listed),Mariellen Dorn,Small Roads,Hernando Haskur,Inverse,Luxembourgish,81,1991,Color
Padriac Giacopelo,Linet Mityushkin,Comedy,Shell Stokey,Fragments of an Alms-Film (Fragmentos de um Filme-Esmola: A Sagrada Família),Dean Bennough,Devolved,Aymara,38,1972,Color
Andres Pluthero,Brantley Stockton,Comedy|Drama,Elvis Mehew,Little Red Flowers (Kan shang qu hen mei),Noe Springtorpe,Multi-tiered,Bulgarian,71,2005,Color
Fred Danilchenko,Josie Dauby,Comedy,Shalom Geipel,Frankie and Johnny,Piggy Hillborne,coherent,Arabic,74,2007,Color
Judy Lightowlers,Merrie Seniour,Documentary,Taylor Tennick,The Forgotten Woman,Homerus Avo,systematic,Luxembourgish,18,2001,Color
Rozanne Quarrell,Raven Suggey,Comedy|Fantasy|Musical|Romance,Natalina Dumberell,"Magic Flute, The (Trollflöjten)",Garold Capewell,Optimized,Swati,88,1989,Color
Charmine Olpin,Carmelina Daldry,Drama|War,Wileen Vasilevich,"Hill, The",Terry Egle of Germany,portal,Northern Sotho,46,2006,Color
Amye Yakovlev,Jeralee Newis,Drama|Romance,Bronny Duffyn,Casablanca,Lanie Greggor,hardware,French,26,1988,Color
Lauraine Patria,Glenn Huonic,Comedy|Drama,Derick Ainley,Diner,Lennie Dalinder,Synergized,Fijian,45,2001,Color
Rhianna Tilliard,Peg Lefort,Documentary,Joyous Heeron,Hotline,Dorothy Bibey,orchestration,Marathi,13,2010,Color
Biddie Tonnesen,Amalita Serrels,Comedy|Crime,Sarette Larmouth,The Gentleman from Epsom,Pauline Ilive,analyzing,Malagasy,33,2001,Color
Othello Mc Ilwrick,Tammy Bonham,Comedy|Horror|Musical,Sloane Balsdon,Suck,Terrance Coopper,Public-key,Aymara,12,2006,Color
Parnell McCloud,Vonny Readmire,Adventure|Drama,Brad Braznell,"Physician, The",Stacee Botwood,Fundamental,Haitian Creole,77,1997,Color
Bryanty Scurr,Michaela Anten,Drama|Fantasy,Brandise Archdeacon,Resurrection,Dagny Scholefield,reciprocal,Italian,48,2011,Color
Carson Boram,Worthington Heads,Drama|Thriller,Marlowe Widd,Awake,Patti Winsper,zero administration,Latvian,52,1997,Color
Drud Shaxby,Ezmeralda Stove,Action|Crime|Drama,Son Moughtin,Easy Money 2 (Snabba cash II),Tiffani Elner,Open-source,German,37,2002,Color
Laurianne Gravestone,Kerr Guislin,Western,Kinna Wigfield,Little Big Man,Sosanna Elfe,open architecture,Estonian,65,2012,Color
Ive Hallor,Ad Hallick,Drama|Thriller|War,Thurston Ganford,Black Book (Zwartboek),Brittani Ilyenko,help-desk,Spanish,4,2001,Color
Johnathan Franssen,Annetta Prewer,Comedy,Zacherie Blincowe,Confessions of a Teenage Drama Queen,Martguerita Lesly,Progressive,Gujarati,89,2003,Color
Nestor Thomann,Stefano Parcall,Comedy|Romance,Kellyann Hawkeswood,"Matchmaker, The",Karena McLese,Re-engineered,Maltese,56,1973,Color
Granny Bulleyn,Shawnee Crombie,Crime|Drama|Thriller,Osmund Waugh,Le convoyeur,Emyle Delahunty,encoding,West Frisian,74,2003,Color
Celia Suff,Beau Gerren,Drama|Fantasy,Salomone Rathbourne,"Late Mathias Pascal, The (a.k.a. The Living Dead Man) (Feu Mathias Pascal)",Sissy Cowlin,Realigned,Burmese,59,1995,Color
Donalt Ballay,Lotty Cumpton,Drama,Reynard Pidgeley,Rain Man,Averil Tremblet,collaboration,Nepali,44,2009,Color
Wynne Danielsky,Phil Keenleyside,Documentary|Drama|Thriller,Jessamyn Klousner,Tatsumi,Jami Allport,help-desk,Filipino,82,1967,Color
